,bikes,ratings,prices,images,links
0,Hero Splendor Plus,4.5/5717 Ratings,"₹ 73,434",https://imgd.aeplcdn.com/227x128/n/cw/ec/15109/splendor-plus-right-front-three-quarter-3.jpeg?isig=0&q=80,https://www.bikewale.com/hero-bikes//hero-bikes/splendor-plus/
1,Hero Splendor Plus Xtec,4.5/531 Ratings,"₹ 79,700",https://imgd.aeplcdn.com/227x128/n/cw/ec/127607/splendor-plus-xtec-right-side-view.gif?isig=0&q=80,https://www.bikewale.com/hero-bikes//hero-bikes/splendor-plus-xtec/
2,Hero HF Deluxe,4.5/5603 Ratings,"₹ 56,193",https://imgd.aeplcdn.com/227x128/bw/ec/39019/Hero-HF-Deluxe-Side-152305.jpg?wm=0&q=80,https://www.bikewale.com/hero-bikes//hero-bikes/hf-deluxe/
3,Hero Glamour,4/5302 Ratings,"₹ 81,338",https://imgd.aeplcdn.com/0x0/statics/grey.gif,https://www.bikewale.com/hero-bikes//hero-bikes/glamour/
4,Hero Super Splendor,4.4/5300 Ratings,"₹ 80,752",https://imgd.aeplcdn.com/0x0/statics/grey.gif,https://www.bikewale.com/hero-bikes//hero-bikes/super-splendor/
5,Hero Xpulse 200 4V,4.5/580 Ratings,"₹ 1,41,190",https://imgd.aeplcdn.com/0x0/statics/grey.gif,https://www.bikewale.com/hero-bikes//hero-bikes/xpulse-200-4v/
6,Hero Karizma XMR,4.7/512 Ratings,"₹ 1,79,889",https://imgd.aeplcdn.com/0x0/statics/grey.gif,https://www.bikewale.com/hero-bikes//hero-bikes/karizma-xmr/
7,Hero Xtreme 160R 4V,4.8/55 Ratings,"₹ 1,28,493",https://imgd.aeplcdn.com/0x0/statics/grey.gif,https://www.bikewale.com/hero-bikes//hero-bikes/xtreme-160r-4v/
8,Hero Xoom,4.4/510 Ratings,"₹ 75,499",https://imgd.aeplcdn.com/0x0/statics/grey.gif,https://www.bikewale.com/hero-bikes//hero-bikes/xoom/
9,Hero Super Splendor Xtec,4.2/54 Ratings,"₹ 85,149",https://imgd.aeplcdn.com/0x0/statics/grey.gif,https://www.bikewale.com/hero-bikes//hero-bikes/super-splendor-xtec/
